,index,ticker,ytdReturn,3 Year,yield_db,esg_global_score,id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,basic_materials,communication_services,consumer_cyclical,consumer_defensive,energy,financial_services,healthcare,industrials,realestate,technology,utilities,stock_id,meanAnnualReturn,standardDeviation
17,144,HEZU,0.10210000000000001,0.1075,0.0020169999999999997,0.9508,23,HEZU,0.0198,0.092089504,0.10786810000000001,0.08163839999999999,0.003,0.99480003,0.0,0.0,0.054000000000000006,0.047199998,0.1552,0.081999995,0.0506,0.1709,0.0829,0.165,0.0154,0.12109999,0.0556,23,0.77,19.51
18,145,EWU,0.047599999999999996,0.1096,0.00034,0.9493,24,EWU,0.0346,0.036382599999999994,0.10941889999999999,0.0312427,0.0050999997,0.9949,0.0,0.0,0.105,0.0296,0.0529,0.1778,0.1464,0.1848,0.1426,0.10609999,0.0067000003,0.0077,0.0403,24,0.34,19.35
19,146,HEWU,0.0483,0.1442,0.00038399999999999996,0.9493,25,HEWU,0.0361,0.035856400000000004,0.1438956,0.058953099999999994,0.0076,0.9924,0.0,0.0,0.1028,0.0299,0.053000003,0.1775,0.14840001,0.1847,0.1434,0.105500005,0.0067000003,0.0077,0.0405,25,0.48,14.4
20,148,SOXX,0.3644,0.1419,9.400000000000001e-05,0.9457,27,SOXX,0.0094,0.34334580000000003,0.1378792,0.2415196,0.0018000001,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,2.06,30.49
21,149,FDD,-0.0128,0.0547,0.0006479999999999999,0.9451999999999999,28,FDD,0.0641,-0.0210546,0.0525351,0.0133083,0.0166,0.9834,0.0,0.0,0.1885,0.058000002,0.1088,0.0,0.0691,0.3095,0.0,0.118999995,0.0463,0.0,0.1008,28,0.35,23.33
22,150,VGK,0.0546,0.0554,0.000339,0.9423999999999999,29,VGK,0.034,0.046122500000000004,0.0540918,0.0467226,0.0057,0.991,0.0,0.003,0.0624,0.0372,0.103999995,0.1097,0.0629,0.17629999,0.1558,0.16370001,0.0186,0.072399996,0.037000000000000005,29,0.49,20.64
23,151,IEUR,0.050499999999999996,0.0541,0.000305,0.9412999999999999,30,IEUR,0.0305,0.0418426,0.052891303,0.045278803,0.0064,0.9917,0.0,0.0005999999700000001,0.0669,0.0363,0.106000006,0.11470000400000001,0.0614,0.1722,0.1558,0.1612,0.0176,0.0706,0.0375,30,0.48,20.51
24,152,EWA,-0.027200000000000002,0.0508,0.000393,0.9406,31,EWA,0.0394,-0.0379331,0.050145503,0.0457098,0.0139,0.9861,0.0,0.0,0.2475,0.0187,0.0561,0.0523,0.0701,0.33810002,0.0953,0.043899997999999996,0.0557,0.016,0.0062,31,0.56,24.18
25,153,EWO,0.046900000000000004,0.12050000000000001,0.0005020000000000001,0.9393,32,EWO,0.050100002000000005,0.040541302,0.1194942,0.004360899999999999,0.0217,0.97830003,0.0,0.0,0.106800005,0.0,0.0,0.0117999995,0.1514,0.3729,0.0,0.1385,0.0639,0.0241,0.1305,32,0.32,27.74
26,154,SPEU,0.049400000000000006,0.0519,0.031400000000000004,0.9377,33,SPEU,0.0321,0.042209699999999996,0.051564597000000004,0.0507761,0.0032,0.99480003,0.0,0.0005,0.066199996,0.0376,0.1058,0.1116,0.0636,0.1674,0.15439999,0.16549999,0.0185,0.07200000000000001,0.0373,33,0.54,19.66
27,155,FKU,0.0207,0.0356,0.000297,0.9361,34,FKU,0.028499998,0.0045573,0.0341903,0.0098434,0.0092,0.96779996,0.0,0.023,0.113400005,0.0541,0.2522,0.1062,0.0612,0.099,0.0278,0.1758,0.0136,0.0404,0.056199998,34,0.34,26.62
28,156,IGV,0.3671,0.0178,1e-06,0.934,35,IGV,0.0001,0.3585204,0.0189192,0.13878120000000002,0.0014,0.9985,0.0,0.0,0.0,0.0635,0.0,0.0,0.0,0.0015,0.0,0.0023,0.0,0.9326,0.0,35,1.09,23.42
29,157,FAN,-0.2075,-0.09449999999999999,0.000208,0.9338,36,FAN,0.0198,-0.2088529,-0.0911202,0.050478403,0.0055,0.9945,0.0,0.0,0.0064999997,0.0,0.021300001000000002,0.0,0.0,0.0016,0.0,0.36020002,0.0,0.0,0.6104,36,0.61,22.21
30,158,EWQ,0.0644,0.0974,0.000268,0.9331999999999999,37,EWQ,0.026400002000000002,0.06001569999999999,0.0971784,0.0630872,0.0011,0.9989,0.0,0.0,0.060599997999999995,0.0275,0.195,0.1034,0.0836,0.103999995,0.111,0.24120001,0.0069,0.051,0.015800001,37,0.65,23.01
31,159,EFAX,0.0433,0.026600000000000002,0.028300000000000002,0.9319,38,EFAX,0.0292,0.034585500000000005,0.0273786,0.036690198,0.0023999998999999998,0.9969,0.0,0.0,0.0577,0.0462,0.1244,0.1073,0.0025,0.2057,0.1504,0.1591,0.0271,0.0937,0.025999999,38,0.38,17.9
32,160,VIGI,0.0345,0.023399999999999997,0.000225,0.9285,39,VIGI,0.0224,0.0268527,0.0221924,0.06435679999999999,0.0034,0.9959,0.0,0.0,0.089899994,0.023699999,0.0339,0.1443,0.050100002000000005,0.1417,0.2318,0.1415,0.0064,0.1311,0.0055,39,0.52,16.29
33,162,EFA,0.0513,0.0451,0.000229,0.9258,41,EFA,0.0229,0.042238597,0.043544102,0.040155699999999996,0.0056,0.9936,0.0,0.0,0.07400000000000001,0.0414,0.111499995,0.09720000599999999,0.048899997,0.1887,0.1359,0.16139999,0.0248,0.0851,0.0311,41,0.4,18.52
34,163,HEFA,0.1207,0.11869999999999999,0.002176,0.9258,42,HEFA,0.0186,0.107591696,0.11630810000000001,0.08480139999999999,0.006,0.9933,0.0,0.0,0.0738,0.0419,0.1086,0.0979,0.0497,0.1903,0.1371,0.1619,0.0249,0.0825,0.031600002,42,0.71,14.96
