stock_id,meanAnnualReturn,standardDeviation
116,0.37,16.7
117,0.37,17.56
117,0.46,17.08
117,0.39,14.65
118,0.19,19.8
118,-0.09,18.92
118,0,0
119,1.4,31.73
119,-0.15,32.47
119,0.74,25.63
120,1.06,17.6
120,0.89,15.92
120,0.88,14.14
121,1.16,22.09
121,1.43,19.2
121,1.27,17.3
122,-0.23,10.75
122,-0.61,11.41
122,-0.14,9.18
123,0.31,21.12
123,0.76,20.45
123,0.3,17.11
124,1.76,29.54
124,1.38,29.92
124,0,0
125,0,0
125,0,0
125,0,0
126,0.43,18.79
126,0.65,16.57
126,0.46,14.94
127,0.43,19
127,0.65,16.93
127,0.45,15.09
128,0.31,22.31
128,0.54,19.99
128,0.5,18.17
129,0.42,19.64
129,1.16,19.31
129,0,0
130,0,0
130,0,0
130,0,0
131,0,0
131,0,0
131,0,0
132,0.72,14.84
132,0.5,15.25
132,0.75,12.85
133,0,0
133,0,0
133,0,0
134,0.05,13.9
134,0.14,12.88
134,0.24,11.92
135,0.23,22.91
135,0.52,22.56
135,0,0
136,0.66,15.2
136,0.58,14.85
136,0.82,13.21
137,0.33,18.18
137,0.42,17.98
137,0.36,15.04
138,0.57,14.21
138,0.76,13.03
138,0,0
139,1.46,44.86
139,4.25,37.12
139,0.75,35.45
140,0.98,18.13
140,0.97,17.35
140,1.05,14.18
141,0,0
141,0,10.15
141,0,0
142,0.33,17.96
142,0.28,17.4
142,0,0
143,0.27,16.85
143,0.33,16.75
143,0,0
144,0.7,25.68
144,1.18,26.89
144,0.53,22.43
145,0.71,16.35
145,0.8,15.83
145,0,0
146,0.29,24.47
146,0.33,24.28
146,0.51,19.42
147,0.71,23.68
147,1.62,22.42
147,0.55,20.2
148,0.38,18.11
148,0.45,17.67
148,0.39,14.88
149,0.48,18.72
149,0.99,17.79
149,0,0
150,0.66,15.91
150,0.85,14.64
150,0.72,13.58
151,0,0
151,0,0
151,0,0
152,0.58,16.31
152,0.75,15.59
152,0.78,12.84
153,0.73,22.6
153,0.82,22.62
153,0.6,19.23
154,0,0
154,0,0
154,0,0
155,0.61,25.7
155,-0.06,24.96
155,0.71,20.47
156,1.35,22.55
156,0.9,22.12
156,0,0
157,1.22,49.45
157,3.83,33.64
157,0.57,39.18
158,0,0
158,0,0
158,0,0
159,0.16,20.8
159,0.79,18.25
159,0.32,17.1
160,0.75,22.72
160,0.57,21.04
160,0.98,19.1
161,0,0
161,-0.11,9.08
161,0,0
162,0,0
162,-0.14,23.86
162,0,0
163,0.75,15.9
163,0.77,15.02
163,1,13.91
164,0.76,20.69
164,0.43,20.66
164,0,0
165,1,23.9
165,1.17,23.1
165,0.95,19.72
166,0.17,0.85
166,0.14,0.74
166,0,0
167,0.78,24.7
167,0.21,25.86
167,1.13,19.54
168,0.92,19.73
168,0.94,19.3
168,1.03,15.37
169,0.36,16.93
169,0.32,17.12
169,0.66,14.71
170,0.4,16.62
170,0.53,17.98
170,0.62,14.08
171,0,0
171,0,0
171,0,0
172,0.46,27.14
172,0.35,26.74
172,0,0
173,0.75,21.15
173,1.12,21.28
173,0.6,16.88
174,0.74,22.58
174,0.79,21.27
174,0.91,17.8
175,1.4,26.34
175,0.71,26.24
175,1.48,20.77
176,0,0
176,0,0
176,0,0
177,0.37,18.31
177,0.45,17.71
177,0.39,14.97
178,0.87,19.63
178,1.06,18.11
178,0,0
179,0.36,18.37
179,0.44,17.97
179,0.39,15.11
180,0.85,25
180,1.2,22.01
180,0.93,19.97
181,0.67,18.48
181,0.6,17.4
181,0.99,15.59
182,1.03,23.5
182,1.25,21.59
182,1.06,18.51
183,0.77,19.1
183,1.18,18.87
183,0.75,15.39
184,0.55,23.56
184,-0.24,23.02
184,1.12,19.31
185,0.65,22.88
185,0.43,22.38
185,0.91,17.81
186,0.49,21.96
186,0.97,20.29
186,0.76,17.18
187,1.57,46.32
187,4.5,37.11
187,0.92,36.54
188,1.63,30.48
188,1.34,27.01
188,1.09,24.37
189,0.96,17.83
189,1,17.21
189,0.87,14.48
190,0.65,18.18
190,0.61,17.21
190,0,0
191,0.33,20.32
191,0.69,18.81
191,0.71,16.26
192,0.45,24.41
192,0.44,23.19
192,0.79,19.78
193,0.43,19.59
193,0.94,17.77
193,0.74,15.19
194,1.58,23.75
194,1.19,23.69
194,1.63,19.21
195,0.3,26.44
195,0.11,27.75
195,0.67,21.27
196,0.57,17.13
196,0.37,18.12
196,0.75,14.98
197,0.7,16.14
197,0.67,14.99
197,0.97,14.18
198,0.81,20.11
198,0.98,18.88
198,0,0
199,0.74,18.62
199,0.79,17.86
199,0.77,14.75
200,0,0
200,0,0
200,0,0
201,0,0
201,1.03,18.2
201,0,0
202,0.9,22.71
202,0.96,22.29
202,0.84,18.94
203,0.84,16.92
203,0.79,16.43
203,0.92,13.58
204,0.51,16.84
204,0.36,17.78
204,0.73,14.75
205,0.79,19
205,0.83,18.17
205,0.8,15.04
206,0.26,4.98
206,-0.09,3.07
206,0,0
207,0.8,22.93
207,1.08,21.39
207,0.95,18.1
208,0.26,17.64
208,0.31,17.74
208,0.39,14.5
209,0.65,15.3
209,0.57,14.74
209,0.87,12.18
210,0.82,17.66
210,0.91,16.57
210,0,0
211,0,0
211,0,0
211,0,0
212,0.38,24.57
212,0.72,21.58
212,0.65,20.09
213,0,0
213,0,0
213,0,0
214,0.98,32.23
214,3.32,30.11
214,0.6,25.78
215,0.06,16.89
215,0.36,16.5
215,0.3,14.29
216,0.29,2.92
216,0.11,1.09
216,0,0
217,0.52,23.04
217,1.25,20.26
217,0,0
218,0.67,16.23
218,0.59,14.83
218,0.98,14.35
219,0.76,16.54
219,0.78,15.8
219,0.82,13.18
220,0.52,18.3
220,0.71,16.99
220,0,0
221,0.27,4.89
221,-0.09,3.11
221,0,0
222,0.28,10.64
222,0.08,8.55
222,0,0
223,1.09,29.05
223,1.24,28.28
223,0.62,23.01
